ID,WC_TA,RE_TA,EBIT_TA,MVE_BVTD,S_TA,Industry
46882,0.149,0.178,0.051,0.88,0.188,9
69490,0.021,0.055,0.032,0.649,0.149,1
78668,0.316,0.445,0.074,1.676,0.483,5
48246,0.01,0.098,0.042,1.462,0.252,2
64648,0.447,0.608,0.084,2.187,0.533,12
44128,-0.222,-0.334,-0.017,0.281,0.122,7
59545,0.168,0.409,0.064,4.932,0.566,3
74898,0.316,0.499,0.07,2.923,0.372,1
57036,0.351,0.294,0.078,0.622,0.273,12
82980,0.079,0.195,0.046,1.575,0.389,1
77390,0.201,0.22,0.059,1.337,0.297,5
45100,-0.144,-0.564,-0.015,0.142,0.147,6
47815,0.282,0.442,0.077,1.628,0.321,1
45454,0.259,0.42,0.059,4.845,0.755,11
59130,0.228,0.42,0.069,3.371,0.439,3
40836,0.149,0.339,0.053,1.636,0.21,8
68422,0.242,0.425,0.063,3.63,0.623,3
58310,0.11,0.124,0.052,0.362,0.135,1
40182,-0.129,-0.161,-0.003,1.067,0.261,3
62509,0.111,0.367,0.053,2.923,0.295,3
36358,0.209,0.534,0.06,4.114,0.618,9
42293,-0.022,-0.123,0.029,0.259,0.149,10
55992,0.102,0.204,0.049,0.565,0.095,5
70782,0.028,0.126,0.029,0.762,0.179,2
79971,0.028,0.223,0.035,2.256,0.559,3
82105,0.496,0.644,0.11,2.987,0.406,1
84638,0.241,0.314,0.076,1.114,0.315,12
68413,0.055,0.138,0.046,0.722,0.201,6
50139,0.041,0.182,0.041,1.093,0.253,4
33137,0.598,0.779,0.113,3.543,0.266,7
82483,0.008,0.219,0.034,3.285,0.643,3
38575,-0.259,-0.219,-0.047,0.866,0.229,2
66978,0.174,0.353,0.065,2.208,0.358,5
33580,0.245,0.442,0.061,2.128,0.371,3
65211,0.176,0.13,0.053,0.451,0.133,2
70650,0.119,0.308,0.046,3.102,0.429,10
78380,0.007,-0.138,0.032,0.284,0.111,9
64053,0.184,0.292,0.059,1.291,0.225,4
56674,0.046,0.112,0.037,1.019,0.3,1
45173,0.418,0.648,0.082,5.021,0.512,2
80769,0.344,0.386,0.079,1.071,0.275,7
55900,-0.559,-0.529,-0.112,1.201,0.277,12
65701,-0.001,0.134,0.041,1.203,0.337,10
58935,0.259,0.42,0.07,2.288,0.345,10
84485,0.077,0.112,0.048,0.604,0.138,12
79407,0.374,0.39,0.079,1.519,0.2,1
58484,0.052,0.318,0.041,2.556,0.322,8
41398,0.583,0.593,0.115,1.293,0.213,6
74176,0.281,0.429,0.055,3.393,0.619,9
33636,-0.167,-0.647,-0.056,0.289,0.157,12
39439,0.52,0.648,0.111,1.423,0.221,9
71793,0.435,0.502,0.086,1.638,0.291,6
79144,0.078,-0.043,0.053,0.194,0.128,6
61015,0.352,0.579,0.081,4.416,0.456,5
35397,0.481,0.937,0.094,17.718,1.133,6
73117,0.077,0.238,0.045,1.727,0.343,11
79799,0.322,0.332,0.071,0.962,0.24,1
78409,0.073,0.151,0.046,0.944,0.177,1
56257,0.473,0.37,0.1,0.57,0.136,8
50829,0.398,0.435,0.075,2.335,0.327,3
76777,0.015,-0.01,0.038,0.54,0.159,7
70770,0.021,0.37,0.031,4.353,0.859,6
41421,0.352,0.927,0.097,25.787,1.143,12
78043,0.142,0.284,0.054,1.509,0.407,5
59572,0.229,0.334,0.064,1.405,0.245,11
63043,0.385,0.508,0.074,1.193,0.362,3
68879,0.091,0.107,0.052,0.429,0.111,4
33620,0.18,0.338,0.058,0.945,0.199,6
55318,0.356,0.397,0.073,2.119,0.333,2
52470,-0.266,-1.933,-0.086,0.051,0.082,8
36692,0.062,0.222,0.043,1.34,0.273,5
67184,-0.059,-0.05,0.017,0.927,0.258,8
81379,0.518,0.57,0.105,1.137,0.218,11
42755,0.151,0.272,0.054,1.512,0.253,2
35381,0.043,-0,0.043,0.236,0.127,6
47323,0.111,0.306,0.054,2.426,0.426,9
70046,0.036,0.069,0.033,0.306,0.124,5
84993,0.42,0.793,0.078,7.22,0.437,4
77748,0.481,0.473,0.095,1.626,0.322,2
33194,0.289,0.358,0.071,0.702,0.18,6
35681,-0.016,0.015,0.032,1.331,0.252,12
56503,0.14,0.242,0.053,1.569,0.226,4
59371,0.078,0.179,0.054,0.972,0.3,11
52540,0.52,0.673,0.107,3.946,0.32,5
36409,0.372,0.636,0.077,7.749,0.667,12
70288,0.25,0.315,0.067,1.878,0.338,10
73431,0.272,0.397,0.066,2.2,0.311,11
53533,0.231,0.401,0.056,2.662,0.321,6
82319,0.07,0.157,0.039,1.597,0.373,4
58492,0.38,0.614,0.081,4.529,0.442,7
73212,-0.038,-0.545,0.03,0.11,0.068,10
52497,0.048,0.095,0.042,0.375,0.132,10
82773,0.526,0.676,0.099,6.937,0.621,8
36237,0.257,0.445,0.061,6.302,0.998,7
43517,0.187,0.387,0.058,1.752,0.322,6
46833,0.035,0.029,0.042,0.485,0.173,5
36364,0.125,0.434,0.049,3.057,0.448,8
48705,0.264,0.25,0.067,0.461,0.099,12
84639,0.045,0.189,0.045,0.879,0.354,10
63264,-0.032,0.096,0.023,1.595,0.501,8
54724,0.046,0.378,0.05,3.1,0.28,8
54846,0.104,0.291,0.047,1.665,0.165,2
82953,0.347,0.614,0.075,3.863,0.465,5
78750,0.158,0.282,0.053,1.215,0.311,9
45388,0.308,0.588,0.061,8.633,0.575,6
33674,0.344,0.415,0.07,1.165,0.313,7
67558,0.277,0.353,0.072,3.029,0.417,2
50202,0.208,0.277,0.063,2.024,0.389,3
47588,0.284,0.225,0.071,0.467,0.104,5
77919,0.184,0.192,0.063,0.931,0.253,1
32910,0.053,0.086,0.034,1.278,0.403,10
54593,0.075,0.161,0.046,0.65,0.128,2
84647,0.137,-0.035,0.04,0.594,0.21,10
67046,0.021,0.393,0.039,3.448,0.72,10
78872,-0.125,-0.773,-0.001,0.101,0.079,5
35163,0.044,0.115,0.041,0.951,0.252,6
74370,0.352,0.64,0.078,4.142,0.632,8
76375,0.224,0.319,0.049,2.895,0.362,5
63584,0.39,0.524,0.075,2.067,0.249,3
45070,0.029,0.223,0.042,2.177,0.43,4
74875,0.217,0.372,0.059,2.369,0.35,10
36311,0.151,0.297,0.056,1.736,0.281,3
51380,0.024,0.218,0.046,1.752,0.293,2
82464,0.162,0.254,0.065,1.502,0.318,9
54146,0.617,0.967,0.139,11.712,0.778,11
60499,0.008,-0.048,0.033,0.194,0.096,1
64311,0.224,0.498,0.066,3.733,0.355,2
51514,0.22,0.293,0.063,1.109,0.176,8
80212,0.137,0.2,0.063,0.869,0.22,12
75372,0.229,0.243,0.06,1.863,0.238,5
79410,0.31,0.522,0.074,6.052,0.47,7
51150,0.263,0.157,0.072,0.555,0.14,7
83715,0.319,0.716,0.067,10.882,0.794,2
75444,-0.024,0.058,0.035,1.022,0.291,9
68816,0.468,0.31,0.101,0.335,0.077,10
64863,0.025,0.049,0.044,0.435,0.169,2
44118,-0.096,-1.069,0.014,0.057,0.074,1
33744,-0.013,0.011,0.03,1.221,0.292,2
76377,0.027,0.006,0.034,0.647,0.269,1
72561,0.424,0.462,0.088,2.771,0.424,10
61732,0.275,0.468,0.062,5.942,0.622,4
53279,0.067,0.202,0.046,1.206,0.27,10
61270,0.269,0.371,0.078,1.186,0.164,10
56278,0.095,0.226,0.053,0.856,0.184,3
37795,0.169,0.315,0.056,2.234,0.278,1
42312,0.106,0.302,0.051,1.635,0.29,12
67684,0.141,0.239,0.053,1.031,0.299,3
57752,0.281,0.363,0.072,0.939,0.132,1
81551,0.203,0.344,0.061,1.154,0.235,4
59381,0.157,0.217,0.051,1.168,0.261,4
74702,0.193,0.422,0.066,1.3,0.218,6
63905,-0.053,-0.588,0.021,0.102,0.084,5
79631,-0.143,-0.506,-0.005,0.246,0.11,6
44872,0.424,0.784,0.088,16.404,1.106,8
68584,-0.06,-0.294,-0.002,0.852,0.179,3
84629,0.362,0.4,0.086,2.176,0.329,1
70484,0.007,0.203,0.04,1.346,0.335,10
84922,0.089,0.205,0.029,3.247,0.489,6
51738,0.068,0.146,0.041,0.625,0.158,11
76059,-0.009,0.079,0.029,0.726,0.247,11
64735,0.32,0.449,0.075,3.407,0.33,10
41508,0.124,0.211,0.047,1.022,0.279,6
60944,-0.043,0.111,0.02,1.5,0.255,8
54407,-0.101,-0.247,0.002,0.372,0.161,8
83561,0.025,0.137,0.034,1.732,0.321,7
70768,0.048,0.19,0.038,1.317,0.293,8
37680,-0.034,0.09,0.024,0.763,0.245,3
54680,0.048,-0.104,0.034,0.168,0.072,7
72194,0.152,0.249,0.057,1.202,0.206,12
42783,0.055,0.204,0.04,2.743,0.393,4
74710,0.386,0.543,0.09,1.347,0.183,5
35920,0.748,0.971,0.176,3.22,0.139,10
53370,0.579,0.659,0.12,2.84,0.464,8
53526,0.262,0.558,0.067,5.443,0.584,7
80122,0.306,0.216,0.067,0.42,0.082,2
47772,0.103,0.319,0.049,2.629,0.46,7
74099,-0.029,0.026,0.03,0.537,0.171,6
77398,0.273,0.464,0.074,2.659,0.269,1
63942,0.093,0.112,0.054,0.917,0.201,5
51904,0.06,0.183,0.04,1.21,0.346,3
68414,0.22,0.251,0.056,0.676,0.188,10
51267,0.083,0.204,0.048,1.155,0.238,10
54501,0.122,0.099,0.057,0.251,0.086,10
47889,0.022,0.135,0.03,4.275,1.23,10
60984,0.106,0.242,0.045,0.865,0.188,2
39060,0.314,0.289,0.069,0.867,0.177,8
68616,0.192,0.285,0.058,1.624,0.362,3
69427,0.102,0.18,0.048,1.357,0.274,8
34290,0.356,0.358,0.084,1.539,0.262,11
48962,0.497,0.675,0.105,2.944,0.327,3
64567,0.216,0.342,0.056,1.035,0.182,5
35814,0.367,0.289,0.089,1.023,0.206,2
63915,0.242,0.383,0.065,2.715,0.431,9
77964,0.039,0.137,0.042,0.891,0.21,6
37147,0.098,0.157,0.046,0.867,0.145,1
75308,0.258,0.272,0.064,1.147,0.19,3
70624,0.059,-0.001,0.047,0.356,0.125,4
66142,0.153,0.441,0.053,3.84,0.489,1
60459,0.229,0.224,0.064,0.646,0.181,11
55945,0.049,0.137,0.045,1.072,0.242,5
62960,0.1,0.235,0.05,1.393,0.301,6
49416,0.195,0.377,0.054,2.838,0.38,1
34964,0.053,0.337,0.042,1.622,0.187,1
32901,0.067,0.103,0.047,0.52,0.167,3
47435,0.205,0.276,0.063,1.012,0.159,8
66814,0.302,0.411,0.054,1.446,0.216,6
42359,0.104,0.22,0.05,1.776,0.316,6
51633,0.336,0.534,0.073,1.933,0.31,9
56698,0.01,0.129,0.038,1.027,0.182,6
72738,-0.029,0.143,0.028,1.585,0.291,5
62088,0.374,0.62,0.083,8.289,0.548,1
82400,0.149,0.19,0.051,0.597,0.195,11
85028,0.087,0.219,0.043,1.332,0.209,10
81886,0.216,0.468,0.057,4.229,0.35,2
62918,0.041,0.08,0.039,0.603,0.169,2
65247,0.012,0.224,0.032,2.5,0.285,10
77539,0.092,0.393,0.05,2.824,0.383,2
42121,0.538,0.83,0.118,5.898,0.549,4
68002,-0.008,0.139,0.028,1.051,0.236,10
76522,0.485,0.664,0.106,2.793,0.394,8
44167,0.218,0.276,0.068,1.741,0.283,2
84078,0.647,0.88,0.149,4.504,0.389,9
49885,0.098,0.354,0.057,4.004,0.659,8
43827,0.06,0.125,0.042,0.556,0.197,4
46374,0.537,0.936,0.127,5.109,0.519,7
77426,-0.026,-0.522,0.032,0.1,0.08,11
41327,0.31,0.305,0.085,0.869,0.279,2
81810,0.195,0.431,0.063,2.912,0.404,12
50893,0.243,0.105,0.043,0.11,0.06,11
55704,0.158,0.24,0.054,1.335,0.251,8
59039,0.08,0.275,0.048,1.653,0.259,10
69504,0.318,0.651,0.069,13.288,1.092,4
32657,0.132,0.271,0.052,1.509,0.284,3
35984,0.272,0.505,0.067,4.357,0.493,1
38923,0.45,0.892,0.1,22.868,1.055,12
40550,0.075,0.199,0.043,0.48,0.12,9
81244,0.099,0.402,0.043,5.503,0.649,1
77315,0.271,0.341,0.065,0.947,0.178,9
39240,0.406,0.71,0.089,6.748,0.841,11
84585,0.221,0.151,0.051,1.07,0.31,3
78151,0.114,0.275,0.052,2.514,0.525,10
49552,0.085,0.161,0.046,0.62,0.221,3
35868,0.368,0.636,0.083,2.835,0.45,9
75770,0.021,-0.142,0.044,0.251,0.09,3
36499,0.08,0.124,0.051,0.917,0.175,11
51701,0.282,0.417,0.073,1.697,0.241,12
50056,0.116,0.215,0.045,1.053,0.263,3
57083,0.366,0.481,0.085,1.819,0.281,10
44919,0.167,0.253,0.055,1.232,0.207,2
77595,0.2,0.158,0.062,1.187,0.27,3
76545,0.221,0.461,0.069,3.674,0.539,8
71463,0.36,0.513,0.08,2.768,0.462,1
47679,0.03,0.12,0.038,0.911,0.401,10
56755,0.128,0.213,0.056,0.728,0.152,9
48508,0.212,0.644,0.074,7.38,0.549,9
43553,0.182,0.202,0.063,0.356,0.131,9
59448,0.469,0.858,0.083,14.845,1.055,10
64036,0.402,0.472,0.08,1.468,0.294,1
42342,-0.045,-0.013,0.025,0.408,0.072,9
52193,0.414,0.63,0.091,3.111,0.239,7
40698,0.315,0.51,0.072,3.305,0.393,1
40059,-0.05,0.047,0.017,0.537,0.13,3
83095,0.067,0.179,0.043,0.671,0.297,1
62278,0.42,0.436,0.084,1.214,0.457,7
63950,-0.019,-0.086,0.023,0.344,0.174,6
70757,0.036,-0.048,0.034,0.366,0.142,3
44110,0.13,0.11,0.052,0.548,0.147,10
78220,0.279,0.268,0.065,1.498,0.389,2
71395,0.206,0.28,0.07,1.274,0.312,2
69895,0.167,0.169,0.055,0.678,0.164,11
78727,0.015,0.065,0.025,0.543,0.206,9
43913,0.341,0.345,0.087,0.44,0.151,9
82657,0.4,0.339,0.095,0.626,0.108,3
57389,0.258,0.508,0.071,5.396,0.821,11
60014,0.063,0.044,0.042,0.309,0.128,7
41980,0.006,0.16,0.034,2.329,0.362,11
70140,0.541,0.692,0.121,4.592,0.416,2
78877,-0.371,-1.875,-0.034,0.055,0.067,9
74670,0.13,0.325,0.055,4.971,0.769,7
53682,0.205,0.288,0.054,2.871,0.545,8
78958,0.003,0.021,0.03,0.457,0.135,1
70110,0.168,0.313,0.061,1.335,0.251,11
34507,0.012,0.099,0.034,1.011,0.362,11
56818,0.124,0.492,0.063,12.65,1.065,12
76225,0.132,0.201,0.049,0.918,0.274,8
75740,0.103,0.374,0.058,2.434,0.368,4
37366,0.282,0.413,0.069,1.264,0.262,1
33114,0.112,0.272,0.052,1.155,0.272,7
40331,0.218,0.364,0.059,1.091,0.49,7
37387,0.214,0.205,0.05,1.242,0.209,12
80041,0.14,0.376,0.05,3.124,0.427,9
68589,0.069,0.091,0.036,0.603,0.198,3
61072,0.222,0.349,0.071,0.847,0.131,1
41809,0.12,0.114,0.046,1.068,0.289,2
77724,0.056,0.104,0.045,0.784,0.201,7
51982,0.145,0.211,0.056,1.216,0.299,2
50233,0.068,0.186,0.046,0.839,0.212,1
47201,0.145,0.24,0.047,1.384,0.423,2
45973,0.15,0.121,0.059,0.522,0.124,2
77200,0.071,0.263,0.046,1.492,0.367,11
37794,0.226,0.115,0.065,0.234,0.106,11
33921,-0.031,-0.038,0.018,0.841,0.226,10
48102,-0.013,0.169,0.01,1.399,0.457,12
66873,0.005,-0.132,0.031,0.33,0.141,8
58748,0.098,0.272,0.06,0.578,0.122,1
82102,0.199,0.168,0.06,0.638,0.173,10
39805,0.169,0.185,0.059,0.661,0.168,3
33773,0.439,0.392,0.089,0.686,0.19,4
39236,0.116,0.219,0.057,0.686,0.169,6
35222,0.073,0.072,0.043,0.497,0.236,1
81812,-0.089,0.025,0.011,1.532,0.232,6
75090,0.359,0.141,0.075,0.722,0.168,9
63652,0.128,0.188,0.06,0.988,0.217,5
76586,0.123,0.202,0.052,0.681,0.193,8
52273,0.117,0.143,0.048,0.475,0.178,7
45436,0.032,0.229,0.041,1.068,0.303,2
46280,0.032,0.108,0.037,1.218,0.271,8
35530,0.168,0.279,0.051,1.649,0.257,12
61086,0.333,0.395,0.077,0.836,0.189,11
58139,0.239,0.338,0.064,1.954,0.303,12
66198,0.294,0.601,0.073,4.784,0.577,8
69433,0.003,0.361,0.04,6.152,0.782,4
84847,0.244,0.336,0.068,1.488,0.261,8
43762,-0.502,-1.888,-0.024,0.073,0.072,1
59520,0.219,0.291,0.052,2.041,0.253,6
48129,-0.011,0.062,0.032,0.718,0.259,12
78192,0.047,0.125,0.034,0.916,0.253,12
37482,-0.048,-0.133,0.029,0.191,0.112,9
48703,0.051,0.258,0.041,1.506,0.316,7
37345,0.07,0.226,0.046,1.948,0.233,2
65240,0.065,0.105,0.046,0.609,0.179,2
52414,0.258,0.386,0.064,2.464,0.244,8
44169,0.381,0.209,0.073,0.59,0.12,6
74634,0.123,0.12,0.059,0.416,0.128,4
49532,0.058,0.35,0.05,3.226,0.461,5
84273,0.119,0.217,0.052,1.54,0.229,3
44085,0.359,0.618,0.081,3.646,0.384,4
55258,0.038,0.158,0.044,0.887,0.261,8
82210,0.175,0.269,0.054,1.364,0.358,8
46778,0.284,0.242,0.064,1.458,0.232,5
64747,0.144,0.25,0.052,1.558,0.303,4
36338,-0.003,0.246,0.032,3.51,0.592,11
56747,-0.004,-0.133,0.028,0.569,0.177,11
56473,-0.007,0.115,0.033,1.326,0.387,5
67451,0.18,0.292,0.051,2.338,0.375,11
84528,0.041,-0.01,0.038,0.5,0.167,11
60330,0.227,0.374,0.062,2.308,0.335,7
40180,0.182,0.39,0.058,2.506,0.396,1
81210,0.446,0.569,0.113,1.886,0.267,2
36801,0.199,0.077,0.05,0.271,0.086,8
36378,0.04,0.195,0.041,1.455,0.315,6
68878,0.102,0.347,0.041,4.129,0.739,8
57309,0.163,0.208,0.054,0.852,0.149,1
75160,0.208,0.501,0.058,3.619,0.504,7
51460,0.035,0.014,0.049,0.158,0.075,1
52118,0.127,0.087,0.056,0.34,0.118,9
44772,0.108,0.276,0.049,2.495,0.466,5
50610,0.477,0.563,0.109,1.332,0.25,10
61152,0.247,0.5,0.062,4.849,0.479,3
77233,-0.018,0.062,0.032,0.593,0.13,5
48430,0.123,0.19,0.052,0.714,0.177,9
65172,0.188,0.191,0.079,0.188,0.075,9
52242,0.207,0.349,0.062,1.807,0.268,10
51503,0.166,0.295,0.046,2.181,0.335,12
48172,0.012,0.102,0.031,1.051,0.295,6
40525,-0.002,0.042,0.029,0.574,0.204,7
45298,0.118,0.233,0.055,1.414,0.222,11
54056,0.068,0.211,0.045,1.305,0.335,3
41566,0.36,0.592,0.087,5.125,0.385,8
73786,0.365,0.394,0.076,1.563,0.121,12
75432,0.335,0.598,0.079,2.51,0.35,8
59501,0.16,0.237,0.05,2.619,0.315,2
40096,0.49,0.765,0.112,10.24,0.709,2
49039,0.237,0.355,0.059,2.817,0.444,9
77057,0.373,0.697,0.075,5.571,0.537,9
34033,0.066,0.14,0.044,0.806,0.254,4
80393,0.059,0.081,0.05,0.505,0.191,1
55461,-0.04,0.042,0.027,1.141,0.319,3
40700,-0.146,-1.702,-0.009,0.061,0.082,4
76362,0.201,0.11,0.052,0.811,0.258,8
45334,0.282,0.432,0.073,3.09,0.374,4
56492,0.226,0.344,0.071,1.645,0.325,12
45444,0.395,0.452,0.081,2.616,0.345,10
47488,0.336,0.402,0.074,1.292,0.251,12
35662,0.144,0.306,0.054,1.689,0.346,4
73487,0.103,0.133,0.055,0.465,0.118,10
58156,0.203,0.387,0.048,2.397,0.589,5
79609,0.081,0.202,0.051,1.44,0.334,3
47032,0.214,0.423,0.061,3.906,0.482,2
77523,0.456,0.744,0.085,7.663,0.79,8
75100,0.243,0.284,0.06,0.907,0.296,8
65965,-0.064,0.254,0.015,11.886,1.232,1
50384,0.013,-0.053,0.034,0.28,0.131,5
65357,0.019,0.237,0.036,2.11,0.317,9
52109,0.192,0.358,0.063,2.014,0.44,12
38541,0.268,0.462,0.066,3.823,0.473,2
47726,0.078,0.015,0.048,0.455,0.287,10
70581,0.211,0.31,0.06,0.823,0.145,12
54049,0.116,0.21,0.053,1.903,0.365,3
52155,0.342,0.616,0.072,10.781,0.532,11
65014,0.315,0.469,0.086,2.379,0.213,8
35170,0.174,0.16,0.059,0.285,0.1,11
84876,0.421,0.792,0.12,4.325,0.247,2
43669,0.005,0.128,0.034,0.642,0.155,6
75423,0.071,0.296,0.045,2.483,0.333,12
51305,0.258,0.404,0.067,3.092,0.353,1
65105,-0.044,-0.111,0.033,0.294,0.104,12
69962,0.04,0.18,0.039,1.501,0.292,5
63758,0.021,-0.053,0.031,0.342,0.139,12
71308,0.262,0.422,0.068,2.242,0.417,5
48480,0.135,0.135,0.053,0.685,0.18,6
73846,0.304,0.248,0.075,0.223,0.175,7
63154,0.403,0.303,0.084,2.045,0.454,7
64967,0.294,0.517,0.089,2.868,0.415,2
83700,-0.05,-0.462,0.012,0.11,0.08,5
59271,0.231,0.72,0.067,11.202,1.074,9
64010,0.123,0.243,0.05,1.298,0.315,9
61109,-0.019,0.123,0.032,1.214,0.256,8
39779,0.47,0.753,0.09,13.462,1.085,4
33626,0.202,0.22,0.068,0.696,0.182,9
71057,0.004,-0.272,0.035,0.215,0.138,1
48886,-0.004,0.015,0.037,0.748,0.273,5
37212,-2.222,-2.716,-0.396,0.132,0.089,5
50537,0.159,0.269,0.059,1.519,0.44,9
58085,0.372,0.567,0.077,3.326,0.416,12
73367,0.032,0.388,0.043,5.478,0.841,7
32666,0.089,0.082,0.038,0.487,0.213,12
66129,0.064,-0.044,0.049,0.233,0.097,1
43749,0.529,0.793,0.109,13.116,0.871,9
73375,0.218,0.234,0.066,0.715,0.263,2
43890,0.18,0.351,0.06,3.229,0.49,7
55527,0.492,0.404,0.084,0.902,0.127,6
69604,0.414,0.597,0.077,3.577,0.499,6
53890,0.382,0.432,0.086,1.117,0.215,3
55416,0.036,0.2,0.046,2.105,0.384,1
67489,0.306,0.559,0.08,2.285,0.325,12
66346,-0.142,-0.769,0.002,0.116,0.098,12
42445,0.382,0.593,0.08,5.021,0.548,11
42716,0.1,0.232,0.049,1.789,0.425,2
62887,0.281,0.25,0.08,0.559,0.128,6
75993,0.14,0.46,0.052,4.296,0.472,8
77896,0.197,0.28,0.062,1.454,0.298,3
75548,0.123,0.116,0.046,1.335,0.26,1
37528,-0.054,-0.121,0.025,0.389,0.18,6
84510,-0.005,-0.035,0.032,0.567,0.143,10
62461,-0.022,0.061,0.029,1.325,0.215,7
61864,0.124,0.252,0.052,1.667,0.367,11
76867,-0.131,-1.782,0.007,0.06,0.07,5
50438,0.062,0.304,0.041,2.086,0.402,7
74798,0.522,0.493,0.123,1.198,0.132,12
34336,0.224,0.47,0.067,5.598,0.777,1
36891,0.097,0.356,0.051,2.648,0.543,8
72729,0.452,0.526,0.093,1.641,0.268,8
83947,0.256,0.428,0.065,2.228,0.43,11
63382,0.301,0.451,0.078,2.517,0.416,1
57147,-0.08,-0.153,0.023,0.346,0.125,1
83277,-0.044,0.124,0.032,3.619,0.634,7
52993,0.141,0.178,0.047,0.969,0.311,4
66349,0.057,0.066,0.028,0.33,0.072,1
49212,0.146,0.383,0.058,2.293,0.382,1
39862,0.129,0.168,0.054,0.445,0.109,9
72625,0.103,-0.037,0.048,0.696,0.192,12
60446,0.189,0.37,0.062,2.983,0.373,12
66781,0.113,0.297,0.047,1.964,0.274,6
68352,0.214,0.284,0.052,1.466,0.253,3
57329,-0.209,-1.324,-0.018,0.139,0.105,8
59184,0.197,0.082,0.062,0.186,0.124,10
82534,0.037,-0.028,0.035,0.396,0.117,4
71623,0.262,0.465,0.071,3.161,0.451,3
40430,0.229,0.353,0.057,2.279,0.321,2
71385,0.298,0.539,0.071,5.853,0.507,12
83244,0.023,0.089,0.031,0.586,0.152,4
42616,0.009,0.432,0.047,6.415,0.611,2
45373,0.222,0.434,0.067,2.408,0.526,11
82609,0.441,0.614,0.086,2.929,0.378,6
77377,0.035,0.197,0.035,2.025,0.298,8
61322,0.112,0.165,0.046,0.898,0.2,3
52281,0.136,0.096,0.054,0.322,0.111,8
37026,0.405,0.79,0.085,11.874,0.79,2
68105,0.557,0.783,0.114,7.22,0.545,10
57819,0.168,0.359,0.065,2.665,0.357,12
41753,0.251,0.398,0.059,2.253,0.418,4
65187,0.158,0.245,0.048,2.794,0.312,8
51025,-0.12,-0.153,0.007,0.599,0.199,2
45115,-0,-0.043,0.026,0.385,0.2,1
70656,-0.02,-0.023,0.033,0.657,0.163,5
68808,0.093,0.016,0.046,0.3,0.108,11
50279,0.198,0.106,0.068,0.266,0.101,11
72196,0.051,0.095,0.045,0.716,0.174,7
79997,0.06,0.31,0.045,2.936,0.448,11
53053,0.223,0.402,0.059,2.485,0.446,11
46400,0.265,0.272,0.071,0.745,0.155,12
72431,0.108,0.198,0.051,0.903,0.174,1
72970,-0.054,-0.249,0.019,0.255,0.104,3
82343,0.045,0.097,0.036,0.497,0.169,1
38240,0.158,0.027,0.059,0.16,0.097,5
76085,0.016,0.036,0.025,0.842,0.267,2
39505,0.045,-0.014,0.044,0.636,0.181,6
79772,0.477,0.581,0.107,2.507,0.177,10
57169,-0.009,0.008,0.034,0.85,0.262,10
65118,0.443,0.253,0.103,0.366,0.099,3
83077,0.122,0.129,0.044,0.367,0.13,1
33431,0.16,0.182,0.046,0.551,0.144,10
65446,0.587,1.062,0.115,23.605,1.323,5
59292,0.26,0.419,0.057,5.16,0.805,8
81921,0.081,0.302,0.047,2.159,0.462,8
56346,-0.166,-0.73,-0.043,0.254,0.15,4
59582,0.02,0.219,0.031,1.49,0.223,3
50742,0.374,0.43,0.084,1.664,0.298,3
61482,0.046,0.095,0.04,0.461,0.117,11
40823,0.434,0.465,0.079,2.171,0.351,7
56019,0.052,0.295,0.052,4.218,0.376,4
34761,0.181,0.158,0.062,0.647,0.193,10
56498,0.25,0.411,0.065,1.62,0.315,5
45000,0.271,0.425,0.068,3.311,0.335,5
80031,0.143,0.269,0.06,1.113,0.245,11
65963,0.045,-0.006,0.042,0.337,0.12,11
78454,0.126,0.246,0.052,1.512,0.189,1
70094,0.038,0.203,0.037,2.23,0.975,9
74708,0.064,0.076,0.044,0.542,0.12,3
67571,0.563,0.744,0.116,4.638,0.41,11
55792,0.302,0.398,0.08,0.833,0.248,4
56779,0.461,0.682,0.085,4.757,0.723,7
45981,0.076,0.164,0.045,0.539,0.156,11
55729,0.28,0.456,0.064,4.179,0.388,6
64233,0.296,0.255,0.069,0.67,0.129,4
72520,-0.008,-0.073,0.03,0.358,0.103,10
65696,0.28,0.514,0.061,3.436,0.49,1
47048,0.078,0.18,0.04,2.055,0.333,12
48461,0.263,0.297,0.068,0.883,0.18,7
37541,-0.037,0.214,0.03,3.039,0.619,11
68457,-0.038,0.102,0.024,1.456,0.347,3
39547,0.157,0.13,0.05,0.474,0.182,3
61364,0.014,0.055,0.037,0.691,0.247,9
66719,0.517,0.919,0.098,13.135,1.029,1
54328,0.145,0.376,0.058,2.586,0.3,5
47348,-0.012,0.196,0.029,2.057,0.374,1
57656,0.141,0.347,0.057,2.536,0.388,9
82742,0.218,0.413,0.05,1.243,0.282,2
53391,0.348,0.274,0.088,0.612,0.161,1
51331,0.369,0.259,0.086,0.686,0.161,6
73203,0.08,0.267,0.044,1.347,0.388,12
66101,-0.057,0.154,0.016,2.755,0.503,8
82571,0.208,0.372,0.057,4.549,0.364,3
60741,0.255,0.287,0.06,1.662,0.24,2
72786,0.042,0.1,0.041,0.733,0.221,10
60924,0.044,0.132,0.056,1.517,0.585,7
41399,-0.184,-0.617,-0.013,0.226,0.101,7
76500,0.33,0.486,0.074,3.107,0.47,1
44814,0.32,0.36,0.064,1.733,0.267,5
43180,0.479,0.688,0.097,5.229,0.594,5
76828,0.173,0.391,0.062,2.675,0.424,6
